type,address,name,legit
1,0x3845badade8e6dff049820680d1f14bd3903a5d0,SAND,1
1,0x8a99d2cfc8b676d193fbeed3140bbb57a7c58023,SaitaRealty,1
1,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,MASK,1
2,0x582048c4077a34e7c3799962f1f8c5342a3f4b12,GALS,1
1,0x674c6ad92fd080e4004b2312b45f796a192d27a0,USDN,1
1,0xb6ff96b8a8d214544ca0dbc9b33f7ad6503efd32,SYNC,1
2,0xc6c11f32d3ccc3beaac68793bc3bfbe82838ca9f,CBOND,1
1,0x07bac35846e5ed502aa91adf6a9e7aa210f2dcbe,erowan,1
1,0x667fd83e24ca1d935d36717d305d54fa0cac991c,AGS,1
1,0x0944d5848bd9f60a34ba92aea300d4286696eb76,PLT,1
1,0xd8912c10681d8b21fd3742244f44658dba12264e,PLU,1
2,0xa4be9cd0db8d401decfcf21084708b7b576e7368,SARIRA,1
1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1
2,0xaadba140ae5e4c8a9ef0cc86ea3124b446e3e46a,MUTCATS,1
3,0x495f947276749ce646f68ac8c248420045cb7b5e,OPENSTORE,1
2,0x3bf99d504e67a977f88b417ab68d34915f3a1209,HEDE,1
2,0x9ea9bde4193a59e18d2007731c0e099f31cc0f77,IF,1
2,0x7feb477600a03fd6ab1fe451cb3c7836a420f4ad,WSPP,1
2,0xfcb1315c4273954f74cb16d5b663dbf479eec62e,CAPSULE,1
1,0xbc4171f45ef0ef66e76f979df021a34b46dcc81d,DORA,1
1,0xa2b4c0af19cc16a6cfacce81f192b024d625817d,KISHU,1
1,0x9b9647431632af44be02ddd22477ed94d14aacaa,KOK,1
1,0xd01409314acb3b245cea9500ece3f6fd4d70ea30,LTO,1
1,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24,STARL,1
1,0xac51066d7bec65dc4589368da368b212745d63e8,ALICE,1
1,0xc834fa996fa3bec7aad3693af486ae53d8aa8b50,CONV,1
1,0x0aacfbec6a24756c20d41914f2caba817c0d8521,YAM,1
1,0xf8c3527cc04340b208c854e985240c02f7b7793f,FRONT,1
1,0x8c6bf16c273636523c29db7db04396143770f6a0,AAA,1
1,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,ROOK,1
1,0xd528cf2e081f72908e086f8800977df826b5a483,PBX,1
1,0x3597bfd533a99c9aa083587b074434e61eb0a258,DENT,1
1,0x383518188c0c6d7730d91b2c03a03c837814a899,OHM,1
1,0x92e187a03b6cd19cb6af293ba17f2745fd2357d5,DUCK,1
1,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,ILV,1
1,0xa130e3a33a4d84b04c3918c4e5762223ae252f80,SWASH,1
1,0x4575f41308ec1483f3d399aa9a2826d74da13deb,OXT,1
1,0x3d382228c54736d831fac2748f4734d9177c7332,ANV,1
2,0x6547e281b43b229c74efc20f01299e36538d5daf,AS,1
1,0xa1faa113cbe53436df28ff0aee54275c13b40975,ALPHA,1
1,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,CHI,1
1,0xa41f142b6eb2b164f8164cae0716892ce02f311f,AVG,1
1,0xb711bac062f74c5c6d4a2cb55639a270881a12ee,TWO,1
